
Order ID,Order Value,Delivery Fee,Cuisine,Meal Type,City,Time Taken for Delivery
ORD100000,543.27,45,Chinese,Breakfast,Delhi,19
ORD100001,1148.25,20,Fast Food,Dinner,Chennai,45
ORD100002,918.59,0,Indian,Dinner,Hyderabad,17
ORD100003,778.59,30,Indian,Dinner,Mumbai,52
ORD100004,313.82,20,Fast Food,Lunch,Chennai,58
ORD100005,313.79,30,Fast Food,Lunch,Chennai,58
ORD100006,210.99,0,Fast Food,Evening Snack,Bangalore,36
ORD100007,1059.48,30,Fast Food,Breakfast,Delhi,58
ORD100008,781.17,20,Indian,Dinner,Chennai,46
ORD100009,893.48,20,Fast Food,Lunch,Delhi,16
ORD100010,171.61,60,Continental,Lunch,Hyderabad,20
ORD100011,1168.41,20,Indian,Breakfast,Delhi,27
ORD100012,1024.06,30,Chinese,Lunch,Delhi,52
ORD100013,372.96,30,Fast Food,Lunch,Chennai,31
ORD100014,340.92,0,Fast Food,Lunch,Delhi,38
ORD100015,342.57,30,Italian,Lunch,Mumbai,55
ORD100016,469.45,20,Continental,Lunch,Chennai,64
ORD100017,700.99,30,Continental,Dinner,Chennai,52
ORD100018,603.54,30,Italian,Breakfast,Mumbai,61
ORD100019,455.79,20,Continental,Lunch,Hyderabad,28
ORD100020,792.45,20,Italian,Breakfast,Mumbai,38
ORD100021,296.47,30,Continental,Dinner,Delhi,29
ORD100022,456.75,30,Italian,Dinner,Chennai,20
ORD100023,534.68,30,Italian,Evening Snack,Hyderabad,54
ORD100024,628.87,0,Chinese,Evening Snack,Chennai,52
ORD100025,974.43,30,Italian,Breakfast,Mumbai,21
ORD100026,359.66,20,Fast Food,Lunch,Hyderabad,22
ORD100027,689.95,30,Fast Food,Evening Snack,Chennai,40
ORD100028,772.04,0,Italian,Dinner,Hyderabad,26
ORD100029,198.77,20,Mexican,Breakfast,Hyderabad,60
ORD100030,787.92,30,Continental,Breakfast,Chennai,31
ORD100031,329.05,20,Fast Food,Lunch,Chennai,32
ORD100032,218.3,45,Continental,Lunch,Delhi,57
ORD100033,1146.33,30,Indian,Evening Snack,Mumbai,61
ORD100034,1163.91,45,Italian,Dinner,Mumbai,48
ORD100035,998.82,20,Italian,Evening Snack,Bangalore,60
ORD100036,469.84,0,Continental,Dinner,Bangalore,18
ORD100037,252.56,30,Fast Food,Evening Snack,Bangalore,22
ORD100038,868.44,20,Indian,Lunch,Mumbai,43
ORD100039,612.16,20,Chinese,Dinner,Bangalore,19
ORD100040,278.14,30,Italian,Breakfast,Delhi,50
